Question,Difficulty,Category,Correct,Wrong1,Wrong2,Wrong3
Σε ποια σειρά της δεκαετίας του '90 έκαναν τις εμφανίσεις τους ο Τζάστιν Τίμπερλεϊκ και ο Λανς Μπας ως μέλη ενός boy band;,3,3,The All-New Mickey Mouse Club,TRL,The Real World,MTV Beach House
"Ποια σειρά της δεκαετίας του '90 έκανε διάσημη τη φράση ""Δεν υπάρχει σούπα για σένα!"";",2,3,Seinfeld,Friends,Frasier,Everybody Loves Raymond
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Τομ Χανκς και τον Ντέιβιντ Μορς ως δεσμοφύλακες κυκλοφόρησε το 1999;,3,3,The Green Mile,The Shawshank Redemption,The Rock,Con Air
Σε ποια σειρά της δεκαετίας του '90 υπήρχαν τα ρομπότ Dead Metal  Sergeant Bash Shunt και Matilda;,3,3,Robot Wars,Scrapheap Challenge,The Crystal Maze,Gladiators
Ποια σειρά της δεκαετίας του '90 με πρωταγωνιστή τον Σαμ Μπέκετ αφορούσε ένα ταξίδι στον χρόνο;,3,3,Quantum Leap,Sliders,The X-Files,Early Edition
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Κιάνου Ριβς είχε θέμα έναν ταχυδρόμο που παραδίδει δέματα σε ετοιμοπόλεμη κατάσταση;,3,3,Speed,The Matrix,Point Break,Johnny Mnemonic
Ποια σειρά της δεκαετίας του '90 διαδραματιζόταν στο νοσοκομείο Seattle Grace;,2,3,ER,Chicago Hope,St. Elsewhere,Doogie Howser
Ποια ταινία του 1990 με πρωταγωνιστή τον Τζόνι Ντεπ περιλαμβάνει έναν άντρα με χέρια-ψαλίδια που παλεύει να ενταχθεί σε μια προαστιακή γειτονιά;,2,3,Edward Scissorhands,Beetlejuice,The Nightmare Before Christmas,Ed Wood
Ποια ταινία του 1992 σε σκηνοθεσία Κουέντιν Ταραντίνο αφηγείται την ιστορία μιας ομάδας εγκληματιών και των συνεπειών μιας αποτυχημένης ληστείας;,1,3,Reservoir Dogs,Pulp Fiction,Jackie Brown,True Romance
"Ποιος υποδύθηκε τον Δρ. Σλόαν στη σειρά ""Diagnosis Murder"";",3,3,Ντικ Βαν Ντάικ,Άλαν Άλντα,Πίτερ Φαλκ,Άντζελα Λάνσμπερι
"Σε ποια σειρά της δεκαετίας του '90 ήταν ο Τζέρι Σάινφελντ γνωστός για την εμμονή του με το δημητριακό ""Kellogg's Frosted Flakes"";",3,3,Seinfeld,Friends,Frasier,Mad About You
Ποια σειρά της δεκαετίας του '90 με πρωταγωνιστή τον Τζον Λιθγκόου αφορούσε έναν θεραπευτή που μετακομίζει στο Σιάτλ;,3,3,Frasier,Cheers,Wings,The John Larroquette Show
Ποια σειρά της δεκαετίας του '90 είχε ως κεντρικό θέμα μια ομάδα μαθητών γυμνασίου στο Bayside High;,2,3,Saved by the Bell,Boy Meets World,Dawson's Creek,Beverly Hills 90210
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Μπρους Γουίλις ακολουθεί έναν ψυχίατρο που μπορεί να δει νεκρούς;,2,3,The Sixth Sense,Unbreakable,The Fifth Element,Armageddon
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Μέλ Γκίμπσον ακολουθεί τον ιστορικό πολεμιστή Γουίλιαμ Γουάλας;,2,3,Braveheart,The Patriot,Gladiator,Rob Roy
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Γουίλ Σμιθ ακολουθεί έναν πιλότο μαχητικού που πολεμά εξωγήινους;,2,3,Independence Day,Men in Black,Wild Wild West,The Fresh Prince of Bel-Air
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Τομ Κρουζ ακολουθεί έναν ατζέντη αθλητών που έχει μια κρίση;,2,3,Jerry Maguire,A Few Good Men,Rain Man,Top Gun
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Άνταμ Σάντλερ ακολουθεί έναν τραγουδιστή που γίνεται διάσημος;,2,3,The Wedding Singer,Happy Gilmore,Big Daddy,Waterboy
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Τζιμ Κάρεϊ ακολουθεί έναν ντετέκτιβ που ψάχνει για ένα χαμένο σκυλί;,2,3,Ace Ventura: Pet Detective,The Mask,Dumb and Dumber,Liar Liar
Ποια ταινία της δεκαετίας του '90 με πρωταγωνιστή τον Μάικ Μάγιερς ακολουθεί έναν πράκτορα μυστικών υπηρεσιών που σταματά έναν σούπερ κακό;,2,3,Austin Powers: International Man of Mystery,Wayne's World,So I Married an Axe Murderer,The Love Guru
Ποια σειρά της δεκαετίας του '90 είχε ως κεντρικό θέμα μια νεαρή μάγισσα που ζούσε με τις θεές της;,2,3,Charmed,Buffy the Vampire Slayer,Sabrina the Teenage Witch,The Craft
Σε ποια σειρά της δεκαετίας του '90 εμφανίστηκε μια νεαρή ηθοποιός που αργότερα έγινε γνωστή ως η βασίλισσα των οθονών;,3,3,Dawson's Creek,Beverly Hills 90210,Party of Five,My So-Called Life
