Question,Difficulty,Category,Correct,Wrong,Wrong,Wrong
Ποιο γεγονός σηματοδοτεί την αρχή της Βιομηχανικής Επανάστασης;,3,2,Η ανακάλυψη της ατμομηχανής,Η πτώση της Ρώμης,Η Επανάσταση του 1821,Η Γαλλική Επανάσταση
Ποιος ήταν ο ηγέτης της Σοβιετικής Ένωσης κατά τον Β’ Παγκόσμιο Πόλεμο;,3,2,Ιωσήφ Στάλιν,Λένιν,Γκορμπατσόφ,Κουρτσένκο
Ποιοι ήταν οι δύο κύριοι αντίπαλοι στον Ψυχρό Πόλεμο;,1,2,Η Σοβιετική Ένωση και οι Η.Π.Α.,Η Γερμανία και η Ιαπωνία,Η Ελλάδα και η Τουρκία,Η Κίνα και η Ινδία
Ποιος Έλληνας πολιτικός υπέγραψε τη Συνθήκη της Λωζάννης το 1923;,2,2,Ελευθέριος Βενιζέλος,Γεώργιος Παπανδρέου,Κωνσταντίνος Καραμανλής,Αλέξανδρος Παπαναστασίου
Ποιο γεγονός σηματοδότησε την αρχή του Ψυχρού Πολέμου;,2,2,Η λήξη του Β’ Παγκοσμίου Πολέμου,Η πτώση της Βαστίλης,Η Γαλλική Επανάσταση,Η Συνθήκη των Βερσαλλιών
Ποιος ήταν ο βασικός ηγέτης της Επανάστασης του 1821 στη Στερεά Ελλάδα;,1,2,Θεόδωρος Κολοκοτρώνης,Γεώργιος Καραϊσκάκης,Παλαιών Πατρών Γερμανός,Κωνσταντίνος Κανάρης
Ποια πόλη ήταν η πρώτη πρωτεύουσα της σύγχρονης Ελλάδας;,2,2,Ναύπλιο,Αθήνα,Θεσσαλονίκη,Πάτρα
Ποιο έτος υπογράφηκε η Συνθήκη των Βερσαλλιών;,3,2,1919,1918,1920,1921
Ποιος ήταν ο τελευταίος βασιλιάς της Ελλάδας πριν την κατάργηση της μοναρχίας;,3,2,Κωνσταντίνος Β’,Γεώργιος Α’,Όθωνας,Αλέξανδρος Α’
Ποιοι ήταν οι σύμμαχοι στον Α’ Παγκόσμιο Πόλεμο;,1,2,Μεγάλη Βρετανία, Γαλλία, Ρωσία,Γερμανία
Ποιο ήταν το αποτέλεσμα της Μάχης της Σαλαμίνας;,2,2,Νίκη των Ελλήνων κατά των Περσών,Νίκη των Περσών,Ισοπαλία,Κατάληψη της Αθήνας
Ποιος ήταν ο αρχηγός της Σπαρτιατικής στρατιάς στη μάχη των Θερμοπυλών;,2,2,Λεωνίδας,Μιλτιάδης,Αλεξάνδρος,Κίμων
Ποιο έτος ανακηρύχθηκε η Ανεξαρτησία των Η.Π.Α.;,3,2,1776,1789,1750,1804
Ποια ήταν η πρωτεύουσα της Βυζαντινής Αυτοκρατορίας;,2,2,Κωνσταντινούπολη,Ρώμη,Αθήνα,Θεσσαλονίκη
Ποιο ήταν το κύριο αίτιο της Γαλλικής Επανάστασης;,2,2,Κοινωνική ανισότητα,Πόλεμος με τη Ρωσία,Εξάπλωση του Β’ Παγκοσμίου Πολέμου,Ανακάλυψη της Αμερικής
Ποιος ηγέτης καθιέρωσε το Μεσοπολέμιο στην Ιταλία;,2,2,Μπενίτο Μουσολίνι,Αδόλφος Χίτλερ,Ιωσήφ Στάλιν,Τσώρτσιλ
Ποιοι ήταν οι κύριοι αντίπαλοι στη μάχη του Βατερλώ;,2,2,Ναπολέων και Στρατηγός Ουέλινγκτον,Ρωμαίοι και Καρχηδόνιοι,Γερμανοί και Γάλλοι,Έλληνες και Πέρσες
Ποιο γεγονός σηματοδοτεί την αρχή της Αμερικανικής Επανάστασης;,2,2,Η Μάχη του Λεξιγκτόν,Η Συνθήκη της Βενετίας,Η Πτώση της Βαστίλης,Η Συνθήκη του Παρισιού
Ποιος Έλληνας στρατηγός ηγήθηκε στην μάχη του Μαραθώνα;,1,2,Μιλτιάδης,Λεωνίδας,Θεόδωρος Κολοκοτρώνης,Παλαιών Πατρών Γερμανός
